No.,Quantity,Description,Supplier ,Supplier Part ,Product Link ,Cost,Total (USD),,
1,6,1x1 2.54mm pins for testing and troubleshooting ,LCSC,C7501259,https://www.lcsc.com/product-detail/C7501259.html,0.015,0.09,,
2,1,1x6 2.54mm pins for connecting the ESC to the Controller,LCSC ,C34498,https://www.lcsc.com/product-detail/C34498.html,0.51,0.51,,
3,1,1x4 2.54mm pins for SWD Branch out Header,LCSC ,C2935929,https://www.lcsc.com/product-detail/C2935929.html,0.035,0.035,,
4,2,BOOT and RESET buttons for the RP2040 ,LCSC,C918859,https://www.lcsc.com/product-detail/C918859.html,0.2275,0.455,,
5,8,2.2uF 0603 Capacitors ,LCSC,C23630,https://www.lcsc.com/product-detail/C23630.html,0.0093,0.0744,,
6,25,100nF 0603 Capacitors ,LCSC ,C191538,https://www.lcsc.com/product-detail/C191538.html,0.0122,0.305,,
7,2,15pF 0603 Capacitor ,LCSC ,C107037,https://www.lcsc.com/product-detail/C107037.html,0.0046,0.0092,,
8,1,Antenna Connector for GPS Module ,LCSC ,C88374,https://www.lcsc.com/product-detail/C88374.html,0.108,0.108,,
9,1,33nH Inductor for GPS Antenna ,LCSC ,C90209,https://www.lcsc.com/product-detail/C90209.html,0.0134,0.0134,,
10,1,LDO for RP2040 Battery to MC Power Rail ,LCSC ,C82942,https://www.lcsc.com/product-detail/C82942.html,0.51,0.51,,
11,1,0603 Red LED,LCSC ,C84263,https://www.lcsc.com/product-detail/C84263.html,0.0095,0.0095,,
12,1,0603 Blue LED,LCSC ,C965799,https://www.lcsc.com/product-detail/C965799.html,0.0035,0.0035,,
13,1,Diode for LDO current Regulation ,LCSC ,C20512,https://www.lcsc.com/product-detail/C20512.html,0.0614,0.0614,,
14,5,1KΩ 0603 Resistor ,LCSC ,C22548,https://www.lcsc.com/product-detail/C22548.html,0.0016,0.008,,
15,1,470Ω 0603 Resistor  ,LCSC ,C114669,https://www.lcsc.com/product-detail/C114669.html,0.0018,0.0018,,
16,1,200KΩ 0603 Resistor  ,LCSC ,C105574,https://www.lcsc.com/product-detail/C105574.html,0.0016,0.0016,,
17,1,100KΩ 0603 Resistor  ,LCSC ,C14675,https://www.lcsc.com/product-detail/C14675.html,0.0014,0.0014,,
18,1,200Ω 0603 Resistor  ,LCSC ,C114664,https://www.lcsc.com/product-detail/C114664.html,0.0016,0.0016,,
19,1,1Ω 0603 Resistor  ,LCSC ,C112305,https://www.lcsc.com/product-detail/C112305.html,0.0042,0.0042,,
20,6,10KΩ 0603 Resistor  ,LCSC ,C965184,https://www.lcsc.com/product-detail/C965184.html,0.0032,0.0192,,
21,2,27Ω 0603 Resistor  ,LCSC ,C25190,https://www.lcsc.com/product-detail/C25190.html,0.0015,0.003,,
22,4,5.1KΩ 0603 Resistor ,LCSC ,C23186,https://www.lcsc.com/product-detail/C23186.html,0.0016,0.0064,,
23,2,4.7KΩ 0603 Resistor ,LCSC ,C99782,https://www.lcsc.com/product-detail/C99782.html,0.0015,0.003,,
24,1,RP2040 Microcontroller ,LCSC ,C2040,https://www.lcsc.com/product-detail/C2040.html,0.95,0.95,,
25,1,W25Q128JVSIQ Flash Memory ,LCSC ,C97521,https://www.lcsc.com/product-detail/C97521.html,2.64,2.64,,
26,1,12MHz 10pF Crystal Oscillator ,LCSC ,C5288803,https://www.lcsc.com/product-detail/C5288803.html,0.59,0.59,,
27,1,BMP388 Digital Pressure Sensor ,LCSC ,C779278,https://www.lcsc.com/product-detail/C779278.html,2.37,2.37,,
28,1,M216Z-D80 GPS Module,LCSC ,C49286686,https://www.lcsc.com/product-detail/C49286686.html,5.09,5.09,,
29,1,USB C connector ,LCSC ,C2765186,https://www.lcsc.com/product-detail/C2765186.html,0.0704,0.0704,,
30,1,RICHTEK RT9080-33GJ5(REGULARTOR FOR USB C,LCSC,C841192,https://www.lcsc.com/product-detail/C841192.html,0.1182,0.1182,,
31,1,RED LED 0805,LCSC,C84256,https://www.lcsc.com/product-detail/C84256.html,0.0134,0.0134,,
32,2,BOOT AND RESET SWITCHES FOR THE CONTOLER,LCSC,C720477,https://www.lcsc.com/product-detail/C720477.html,0.054,0.108,,
33,1,FLIP SWITCHES FOR CONTOLER,LCSC,C908284,https://www.lcsc.com/product-detail/C908284.html,1.664,1.664,,
34,3,TACT BUTTON FOR CONTOLER,LCSC,C455118,https://www.lcsc.com/product-detail/C455118.html,0.0581,0.1743,,
35,1,CAPASITOR FOR CONTORLER,LCSC,C72522,https://www.lcsc.com/product-detail/C72522.html,0.0221,0.0221,,
36,3,LED for controller ,LCSC,C965560,https://www.lcsc.com/product-detail/C965560.html,0.55,1.65,,
37,3,USB C backwards current diode ,LCSC,C41409280,https://www.lcsc.com/product-detail/C41409280.html,0.0243,0.0729,,
38,2,Joystick ,ElectroPi,EPI7882,https://www.electropi.in/dual-axis-xy-joystick-module,0.29,0.58,,
39,2,NRF24L01 Receiver and Transmitter ,makerBazar,SKU:422942410,https://makerbazar.in/products/2-4ghz-nrf24l01-pa-lna-sma-wireless-transceiver-antenna,1.54,3.08,,
40,1,IMU & Accelerometer Sensor ,robu,SKU: R184320,https://robu.in/product/icm-20948-tdk-invensense,14.19,14.19,,
41,1,Boat Controller PCB,JLCPCB ,NA,https://cart.jlcpcb.com/quote,1.3,1.3,,
42,1,Transmitter PCB ,JLCPCB ,NA,https://cart.jlcpcb.com/quote,1.3,1.3,,
,,,,,,Total ,38.2179,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
